tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Rua,Arua,0,Engenheiro Leal,21370080,-22.874237,-43.329292
Rua,Arua,76,Engenheiro Leal,21370080,-22.873258,-43.328880
Rua,Arua,15,Engenheiro Leal,21370080,-22.873269,-43.329126
Rua,Arua,30,Engenheiro Leal,21370080,-22.873193,-43.329039
Rua,Arua,93,Engenheiro Leal,21370080,-22.873436,-43.329386
Caminho,Da Chacara,431,Praca Seca,22733060,-22.896426,-43.364908
Rua,Mario Piragibe,38,Lins de Vasconcelos,20720320,-22.909405,-43.284707
Rua,Mario Piragibe,52,Lins de Vasconcelos,20720320,-22.908924,-43.285074
Rua,Mariz e Barros,824,Maracana,20270002,-22.915849,-43.221784
Avenida,Engenheiro Pires Rebelo,940,Bangu,21825390,-22.891135,-43.474215
Avenida,Engenheiro Pires Rebelo,842,Bangu,21825390,-22.891380,-43.474890
Caminho,Da Chacara,444,Praca Seca,22733060,-22.897509,-43.367264
Caminho,Da Chacara,442,Praca Seca,22733060,-22.897327,-43.367093
Rua,Rio Grande do Sul,83,Meier,20775100,-22.898661,-43.274198
Travessa,Dos Crichanas,38,Cavalcanti,21370190,-22.874404,-43.319330
Travessa,Dos Crichanas,46,Cavalcanti,21370190,-22.874084,-43.319566
Travessa,Dos Crichanas,44,Cavalcanti,21370190,-22.874484,-43.319278
Caminho,Da Chacara,416,Praca Seca,22733060,-22.898159,-43.366097
Caminho,Da Chacara,668,Praca Seca,22733060,-22.897712,-43.368096
Rua,Durban,438,Taquara,22775465,-22.952303,-43.377931
Rua,Durban,439,Taquara,22775465,-22.952197,-43.377894
Rua,Durban,427,Taquara,22775465,-22.952357,-43.377010
Rua,Sousa Caldas,330,Oswaldo Cruz,21550160,-22.861379,-43.350556
Rua,Renato de Vasconcelos,18,Sepetiba,22452610,-22.956979,-43.702679
Rua,Arapei,158,Coelho Neto,21545430,-22.836527,-43.345740
Rua,Do Aprendiz,49,Bangu,21842410,-22.871930,-43.481608
Rua,Oscar,21,Quintino,21380190,-22.885063,-43.318756
Rua,Mariz e Barros,830,Maracana,20270002,-22.915994,-43.221838
Rua,Mariz e Barros,840,Maracana,20270002,-22.916139,-43.221868
Vila,Roberto Matos,34,Mare,21042040,-22.863993,-43.242542
Rua,Do Caja,1176,Penha,21070000,-22.847265,-43.290638
Rua,Do Caja,1142,Penha,21070000,-22.847068,-43.290362
Rua,Do Caja,1190,Penha,21070000,-22.847433,-43.290770
Rua,Adonis,6,Bangu,21825340,-22.895204,-43.472327
Estrada,Dos Coqueiros,486,Senador Camara,21843652,-22.873392,-43.503036
Estrada,Dos Coqueiros,488,Senador Camara,21843652,-22.873407,-43.503232
Travessa,Sepetiba,61,Sepetiba,23525173,-22.951995,-43.686523
Travessa,Sepetiba,47,Sepetiba,23525173,-22.952173,-43.685810
Travessa,Sepetiba,35,Sepetiba,23525173,-22.952300,-43.685327
Travessa,Sepetiba,27,Sepetiba,23525173,-22.952440,-43.684957
Travessa,Sepetiba,13,Sepetiba,23525173,-22.952738,-43.684360
Rua,Tomas Cerqueira,120,Paqueta,20397050,-22.754115,-43.109583
Rua,Tomas Cerqueira,128,Paqueta,20397050,-22.754437,-43.109416
Rua,Tomas Cerqueira,172,Paqueta,20397050,-22.754689,-43.109556
Rua,Tomas Cerqueira,180,Paqueta,20397050,-22.754864,-43.109703
Travessa,Javata,16,Anchieta,21655410,-22.825264,-43.384666
Travessa,65,31,Nova Sepetiba,23535660,-22.957822,-43.695929
Travessa,65,5,Nova Sepetiba,23535660,-22.957782,-43.695702
Caminho,Da Chacara,447,Praca Seca,22733060,-22.897414,-43.366155
Caminho,Da Chacara,400,Praca Seca,22733060,-22.896838,-43.366208
Caminho,Da Chacara,440,Praca Seca,22733060,-22.896828,-43.366301
Caminho,Da Chacara,380,Praca Seca,22733060,-22.896760,-43.365897
Caminho,Da Chacara,0,Praca Seca,22733060,-22.896799,-43.365936
Rua,Paula Brito,479,Andarai,20541190,-22.928373,-43.254442
Rua,Paula Brito,431,Andarai,20541190,-22.927680,-43.253981
Rua,Paula Brito,417,Andarai,20541190,-22.927801,-43.254139
